"Your Kindle Notes For:",,,
"ESSENTIALISM: THE DISCIPLINED PURSUIT OF LESS",,,
"by Greg McKeown",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2cm0Sfx",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 149","","Tom Stafford describes a simple antidote to the endowment effect.6 Instead of asking, “How much do I value this item?” we should ask, “If I did not own this item, how much would I pay to obtain it?”"
"Highlight (Yellow)","Page 151","","The tendency to continue doing something simply because we have always done it is sometimes called the “status quo bias.”"
"Highlight (Yellow)","Page 160","","Many people have been credited with coming up with this apt sentiment: “I must apologize: if I had more time I would have written a shorter letter.”"
"Highlight (Yellow)","Page 181","","In filtering out 7 companies from 20,400, the authors found that the ones that executed most successfully did not have any better ability to predict the future than their less successful counterparts. Instead, they were the ones who acknowledged they could not predict the unexpected and therefore prepared better."
"Highlight (Yellow)","Page 182","","Of the variety of explanations for why we underestimate the amount of time something will take, I believe social pressure is the most interesting. One study found that if people estimated anonymously how long it would take to complete a task they were no longer guilty of the planning fallacy.9 This implies that often we actually know we can’t do things in a given time frame, but we don’t want to admit it to someone."
"Highlight (Yellow)","Page 183","","One way to protect against this is simply to add a 50 percent buffer to the amount of time we estimate it will take to complete a task or project (if 50 percent seems overly generous, consider how frequently things actually do take us 50 percent longer than expected)."
"Highlight (Yellow)","Page 184","","Essentialists accept the reality that we can never fully anticipate or prepare for every scenario or eventuality; the future is simply too unpredictable. Instead, they build in buffers to reduce the friction caused by the unexpected."
"Highlight (Yellow)","Page 199","","A popular idea in Silicon Valley is “Done is better than perfect.”"
"Highlight (Yellow)","Page 236","","This story captures the two most personal learnings that have come to me on the long journey of writing this book. The first is the exquisitely important role of my family in my life. At the very, very end, everything else will fade into insignificance by comparison. The second is the pathetically tiny amount of time we have left of our lives."
"Highlight (Yellow)","Page 238","","If you take one thing away from this book, I hope you will remember this: whatever decision or challenge or crossroads you face in your life, simply ask yourself, “What is essential?” Eliminate everything else."
"Highlight (Yellow)","Page 239","","LinkedIn CEO Jeff Weiner sees “fewer things done better” as the most powerful mechanism for leadership."
