"Your Kindle Notes For:",,,
"THE EVERYTHING STORE: JEFF BEZOS AND THE AGE OF AMAZON",,,
"by Brad Stone",,,
"Free Kindle instant preview:",,,
"http://amzn.to/29d9pzx",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 2539","","As part of his ongoing quest for a better allocation of his own time, he decreed that he would no longer have one-on-one meetings with his subordinates. These meetings tended to be filled with trivial updates and political distractions, rather than problem solving and brainstorming. Even today, Bezos rarely meets alone with an individual colleague."
"Highlight (Yellow)","Location 2542","","Up until that time, Amazon employees had been using Microsoft’s PowerPoint and Excel spreadsheet software to present their ideas in meetings. Bezos believed that method concealed lazy thinking."
"Highlight (Yellow)","Location 2546","","Bezos announced that employees could no longer use such corporate crutches and would have to write their presentations in prose, in what he called narratives."
"Highlight (Yellow)","Location 2557","","Bezos refined the formula even further. Every time a new feature or product was proposed, he decreed that the narrative should take the shape of a mock press release. The goal was to get employees to distill a pitch into its purest essence, to start from something the customer might see—the public announcement—and work backward. Bezos didn’t believe anyone could make a good decision about a feature or a product without knowing precisely how it would be communicated to the world—and what the hallowed customer would make of it."
"Highlight (Yellow)","Location 2595","","That was a typical interaction with Jeff. He had this unbelievable ability to be incredibly intelligent about things he had nothing to do with, and he was totally ruthless about communicating it.”"
"Highlight (Yellow)","Location 2611","","“Those guys could be brutal,” says Mark Mastandrea. “You had to be comfortable saying, ‘I don’t know; I’ll get back to you in a couple of hours,’ and then doing it. You could not ever bullshit or make stuff up. That would be the end.” T. E. Mullane worked in Amazon’s"
"Highlight (Yellow)","Location 2851","","At quarterly board meetings, he asked each director to share an example of the institutional no from his or her own past. Bezos was preparing his overseers to approve what would be a series of improbable, expensive, and risky bets. He simply refused to accept Amazon’s fate as an unexciting and marginally profitable online retailer. “There’s only one way out of this predicament,” he said repeatedly to employees during this time, “and that is to invent our way out.”"
"Highlight (Yellow)","Location 3051","","the world’s best engineers were fleeing a poisonous Amazon culture and flocking to Google and other hot Internet companies in Silicon Valley. If Bezos was going to prove to the world that Amazon was indeed the technology company that he so desperately claimed it to be, he needed a dramatic breakthrough."
"Highlight (Yellow)","Location 3247","","The comment reflected his distinctive business philosophy. Bezos believed that high margins justified rivals’ investments in research and development and attracted more competition, while low margins attracted customers and were more defensible."
"Highlight (Yellow)","Location 3269","","It is not hyperbole to say that AWS, particularly the original services like S3 and EC2, helped lift the entire technology industry out of a prolonged post-dot-com malaise. Amazon also completely outflanked the great hardware makers of the time, like Sun Microsystems and Hewlett-Packard, and defined the next wave of corporate computing."
"Highlight (Yellow)","Location 3393","","Bezos ultimately concluded that if Amazon was to continue to thrive as a bookseller in a new digital age, it must own the e-book business in the same way that Apple controlled the music business. “It is far better to cannibalize yourself than have someone else do it,” said Diego Piacentini in a speech at Stanford’s Graduate School of Business a few years later. “We didn’t want to be Kodak.” The reference was to the century-old photography giant whose engineers had invented digital cameras in the 1970s but whose profit margins were so healthy that its executives couldn’t bear to risk it all on an unproven venture in a less profitable frontier."
"Highlight (Yellow)","Location 3431","","By that time, Bezos and his executives had devoured and raptly discussed another book that would significantly affect the company’s strategy: The Innovator’s Dilemma, by Harvard professor Clayton Christensen. Christensen wrote that great companies fail not because they want to avoid disruptive change but because they are reluctant to embrace promising new markets that might undermine their traditional businesses and that do not appear to satisfy their short-term growth requirements."
"Highlight (Yellow)","Location 3439","","“Your job is to kill your own business,” he told him. “I want you to proceed as if your goal is to put everyone selling physical books out of a job.” Bezos underscored the urgency of the effort. He believed that if Amazon didn’t lead the world into the age of digital reading, then Apple or Google would. When Kessel asked Bezos what his deadline was on developing the company’s first piece of hardware, an electronic reading device, Bezos told him, “You are basically already late.”"
"Highlight (Yellow)","Location 3665","","Goss admitted to mixed emotions about Amazon. He was proud of the difficult things he and his colleagues had accomplished. But he also found it increasingly hard to reconcile the company’s approach toward its partners with his own Christian values and says that for a year after leaving Amazon, he had post-traumatic stress disorder."
"Highlight (Yellow)","Location 3779","","The development of Fiona set the stage for this new phase in Amazon’s history and revealed the company as relentlessly innovative and disruptive, as well as calculating and ruthless. Amazon’s behavior was a manifestation of Bezos’s own competitive personality and boundless intellect, writ large on the business landscape."
"Highlight (Yellow)","Location 3875","","Over the next few years, Dalzell watched Amazon from afar and marveled at how Bezos turned himself into one of the world’s most admired corporate chiefs. “Jeff does a couple of things better than anyone I’ve ever worked for,” Dalzell says. “He embraces the truth. A lot of people talk about the truth, but they don’t engage their decision-making around the best truth at the time. “The second thing is that he is not tethered by conventional thinking. What is amazing to me is that he is bound only by the laws of physics. He can’t change those. Everything else he views as open to discussion.”"
"Highlight (Yellow)","Location 4783","","Bezos abhors what he calls “social cohesion,” the natural impulse to seek consensus. He’d rather his minions battled it out in arguments backed by numbers and passion, and"
"Highlight (Yellow)","Location 4903","","“If you look at why Amazon is so different than almost any other company that started early on the Internet, it’s because Jeff approached it from the very beginning with that long-term vision,” Hillis continues. “It was a multidecade project. The notion that he can accomplish a huge amount with a larger time frame, if he is steady about it, is fundamentally his philosophy.”"
