"Your Kindle Notes For:",,,
"DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD",,,
"by Cal Newport",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2c2hPIE",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 872","","Many knowledge workers spend most of their working day interacting with these types of shallow concerns. Even when they’re required to complete something more involved, the habit of frequently checking inboxes ensures that these issues remain at the forefront of their attention. Gallagher teaches us that this is a foolhardy way to go about your day, as it ensures that your mind will construct an understanding of your working life that’s dominated by stress, irritation, frustration, and triviality. The world represented by your inbox, in other words, isn’t a pleasant world to inhabit. Even if your colleagues"
"Highlight (Yellow)","Location 910","","Human beings, it seems, are at their best when immersed deeply in something challenging."
"Highlight (Yellow)","Location 950","","The task of a craftsman, they conclude, “is not to generate meaning, but rather to cultivate in himself the skill of discerning the meanings that are already there.” This"
"Highlight (Yellow)","Location 967","","the medieval quarry worker’s creed in its preface: “We who cut mere stones must always be envisioning cathedrals.”"
"Highlight (Yellow)","Location 982","","The meaning uncovered by such efforts is due to the skill and appreciation inherent in craftsmanship—not the outcomes of their work. Put another way, a wooden wheel is not noble, but its shaping can be. The same applies to knowledge work. You don’t need a rarified job; you need instead a rarified approach to your work."
"Highlight (Yellow)","Location 987","","It follows that to embrace deep work in your own career, and to direct it toward cultivating your skill, is an effort that can transform a knowledge work job from a distracted, draining obligation into something satisfying—a portal to a world full of shining, wondrous things."
"Highlight (Yellow)","Location 1066","","The key to developing a deep work habit is to move beyond good intentions and add routines and rituals to your working life designed to minimize the amount of your limited willpower necessary to transition into and maintain a state of unbroken concentration."
"Highlight (Yellow)","Location 1090","","You must be careful to choose a philosophy that fits your specific circumstances, as a mismatch here can derail your deep work habit before it has a chance to solidify."
"Highlight (Yellow)","Location 1151","","approach is what I call the bimodal philosophy of deep work. This philosophy asks that you divide your time, dedicating some clearly defined stretches to deep pursuits and leaving the rest open to everything else."
"Highlight (Yellow)","Location 1278","","In a New York Times column on the topic, David Brooks summarizes this reality more bluntly: “[Great creative minds] think like artists but work like accountants.”"
"Highlight (Yellow)","Location 1465","","As Christensen later explained, this division between what and how is crucial but is overlooked in the professional world. It’s often straightforward to identify a strategy needed to achieve a goal, but what trips up companies is figuring out how to execute the strategy once identified."
"Highlight (Yellow)","Location 1497","","For an individual focused on deep work, it’s easy to identify the relevant lead measure: time spent in a state of deep work dedicated toward your wildly important goal."
"Highlight (Yellow)","Location 1558","","At the end of the workday, shut down your consideration of work issues until the next morning—no after-dinner e-mail check, no mental replays of conversations, and no scheming about how you’ll handle an upcoming challenge; shut down work thinking completely."
"Highlight (Yellow)","Location 1677","","Decades of work from multiple different subfields within psychology all point toward the conclusion that regularly resting your brain improves the quality of your deep work. When you work, work hard. When you’re done, be done. Your average e-mail response time might suffer some, but you’ll more than make up for this with the sheer volume of truly important work produced during the day by your refreshed ability to dive deeper than your exhausted peers."
"Highlight (Yellow)","Location 1706","","The ability to concentrate intensely is a skill that must be trained."
"Highlight (Yellow)","Location 1717","","Among other insights, Nass’s research revealed that constant attention switching online has a lasting negative effect on your brain."
"Highlight (Yellow)","Location 1727","","To put this more concretely: If every moment of potential boredom in your life—say, having to wait five minutes in line or sit alone in a restaurant until a friend arrives—is relieved with a quick glance at your smartphone, then your brain has likely been rewired to a point where, like the “mental wrecks” in Nass’s research, it’s not ready for deep work—even if you regularly schedule time to practice this concentration."
"Highlight (Yellow)","Location 1753","","I propose an alternative to the Internet Sabbath. Instead of scheduling the occasional break from distraction so you can focus, you should instead schedule the occasional break from focus to give in to distraction."
"Highlight (Yellow)","Location 1800","","As in the workplace variation of this strategy, if the Internet plays a large and important role in your evening entertainment, that’s fine: Schedule lots of long Internet blocks. The key here isn’t to avoid or even to reduce the total amount of time you spend engaging in distracting behavior, but is instead to give yourself plenty of opportunities throughout your evening to resist switching to these distractions at the slightest hint of boredom."
"Highlight (Yellow)","Location 1922","","Daniel Kilov, we can therefore conjecture, didn’t become a star student because of his award-winning memory; it was instead his quest to improve this memory that (incidentally) gave him the deep work edge needed to thrive academically."
"Highlight (Yellow)","Location 2085","","The Craftsman Approach to Tool Selection: Identify the core factors that determine success and happiness in your professional and personal life. Adopt a tool only if its positive impacts on these factors substantially outweigh its negative impacts."
"Highlight (Yellow)","Location 2123","","The first step of this strategy is to identify the main high-level goals in both your professional and your personal life."
"Highlight (Yellow)","Location 2196","","The Law of the Vital Few*: In many settings, 80 percent of a given effect is due to just 20 percent of the possible causes."
"Highlight (Yellow)","Location 2392","","The shallow work that increasingly dominates the time and attention of knowledge workers is less vital than it often seems in the moment. For"
"Highlight (Yellow)","Location 2402","","we should see the goal of this rule as taming shallow work’s footprint in your schedule, not eliminating it. Then"
"Highlight (Yellow)","Location 2436","","We spend much of our day on autopilot—not giving much thought to what we’re doing with our time. This is a problem. It’s difficult to prevent the trivial from creeping into every corner of your schedule if you don’t face, without flinching, your current balance between deep and shallow work, and then adopt the habit of pausing before action and asking, “What makes the most sense right now?”"
"Highlight (Yellow)","Location 2484","","In other words, I not only allow spontaneity in my schedule; I encourage it. Joseph’s critique is driven by the mistaken idea that the goal of a schedule is to force your behavior into a rigid plan."
"Highlight (Yellow)","Location 2504","","Shallow Work: Noncognitively demanding, logistical-style tasks, often performed while distracted. These efforts tend not to create much new value in the world and are easy to replicate."
"Highlight (Yellow)","Location 2515","","How long would it take (in months) to train a smart recent college graduate with no specialized training in my field to complete this task?"
"Highlight (Yellow)","Location 2549","","Here’s an important question that’s rarely asked: What percentage of my time should be spent on shallow work? This strategy suggests that you ask it. If you have a boss, in other words, have a conversation about this question."
"Highlight (Yellow)","Location 2553","","For most people in most non-entry-level knowledge work jobs, the answer to the question will be somewhere in the 30 to 50 percent range (there’s a psychological distaste surrounding the idea of spending the majority of your time on unskilled tasks,"
"Highlight (Yellow)","Location 2594","","call this commitment fixed-schedule productivity, as I fix the firm goal of not working past a certain time, then work backward to find productivity strategies that allow me to satisfy this declaration."
"Highlight (Yellow)","Location 2657","","Fixed-schedule productivity, in other words, is a meta-habit that’s simple to adopt but broad in its impact. If you have to choose just one behavior that reorients your focus toward the deep, this one should be high on your list of possibilities."
"Highlight (Yellow)","Location 2753","","Process-Centric Response to E-mail #2: “I agree that we should return to this problem. Here’s what I suggest… “Sometime in the next week e-mail me everything you remember about our discussion on the problem. Once I receive that message, I’ll start a shared directory for the project and add to it a document that summarizes what you sent me, combined with my own memory of our past discussion. In the document, I’ll highlight the two or three most promising next steps. “We can then take a crack at those next steps for a few weeks and check back in. I suggest we schedule a phone call for a month from now for this purpose. Below I listed some dates and times when I’m available for a call. When you respond with your notes, indicate the date and time combination that works best for you and we’ll consider that reply confirmation for the call. I look forward to digging into this problem.”"
"Highlight (Yellow)","Location 2803","","Professorial E-mail Sorting: Do not reply to an e-mail message if any of the following applies: • It’s ambiguous or otherwise makes it hard for you to generate a reasonable response. • It’s not a question or proposal that interests you. • Nothing really good would happen if you did respond and nothing really bad would happen if you didn’t."
"Highlight (Yellow)","Location 2816","","There are two common tropes bandied around when people discuss solutions to e-mail overload. One says that sending e-mails generates more e-mails, while the other says that wrestling with ambiguous or irrelevant e-mails is a major source of inbox-related stress. The approach suggested here responds aggressively to both issues—you send fewer e-mails and ignore those that aren’t easy to process—and by doing so will significantly weaken the grip your inbox maintains over your time and attention."
"Highlight (Yellow)","Location 2875","","Perhaps most impactful, I returned to my MIT habit of working on problems in my head whenever a good time presented itself—be it walking the dog or commuting. Whereas earlier, I tended to increase my deep work only as a deadline approached, this year I was relentless—most every day of most every week I was pushing my mind to grapple with results of consequence, regardless of whether or not a specific deadline was near. I solved proofs on subway rides and while shoveling snow. When my son napped on the weekend, I would pace the yard thinking, and when stuck in traffic I would methodically work through problems that were stymieing me."
"Highlight (Yellow)","Location 2887","","The deep life, of course, is not for everybody. It requires hard work and drastic changes to your habits. For many, there’s a comfort in the artificial busyness of rapid e-mail messaging and social media posturing, while the deep life demands that you leave much of that behind. There’s"
