"Your Kindle Notes For:",,,
"ANTIFRAGILE: THINGS THAT GAIN FROM DISORDER (INCERTO)",,,
"by Nassim Nicholas Taleb",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2ccCT0a",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 2051","","To summarize, the problem with artificially suppressed volatility is not just that the system tends to become extremely fragile; it is that, at the same time, it exhibits no visible risks. Also remember that volatility is information. In fact, these systems tend to be too calm and exhibit minimal variability as silent risks accumulate beneath the surface."
"Highlight (Yellow)","Location 2248","","Just as a little bit of fire here and there gets rid of the flammable material in a forest, a little bit of harm here and there in an economy weeds out the vulnerable firms early enough to allow them to “fail early” (so they can start again) and minimize the long-term damage to the system. An ethical problem arises"
"Highlight (Yellow)","Location 2274","","As we saw with the overzealous editor, over-intervention comes with under-intervention. Indeed, as in medicine, we tend to over-intervene in areas with minimal benefits (and large risks) while under-intervening in areas in which intervention is necessary, like emergencies. So the message here is in favor of staunch intervention in some areas, such as ecology or to limit the economic distortions and moral hazard caused by large corporations. What should we control?"
"Highlight (Yellow)","Location 2391","","Likewise, those in corporations or in policy making (like Fragilista Greenspan) who are endowed with a sophisticated data-gathering department and are therefore getting a lot of “timely” statistics are capable of overreacting and mistaking noise for information—Greenspan kept an eye on such fluctuations as the sales of vacuum cleaners in Cleveland to, as they say, “get a precise idea about where the economy is going,” and of course he micromanaged us into chaos."
"Highlight (Yellow)","Location 2506","","Governments are wasting billions of dollars on attempting to predict events that are produced by interdependent systems and are therefore not statistically understandable at the individual level."
"Highlight (Yellow)","Location 2518","","Political and economic “tail events” are unpredictable, and their probabilities are not scientifically measurable. No matter how many dollars are spent on research, predicting revolutions is not the same as counting cards; humans will never be able to turn politics and economics into the tractable randomness of blackjack."
"Highlight (Yellow)","Location 2550","","Fragility-Robustness-Antifragility as a replacement for predictive methods."
"Highlight (Yellow)","Location 2557","","There are ample empirical findings to the effect that providing someone with a random numerical forecast increases his risk taking, even if the person knows the projections are random."
"Highlight (Yellow)","Location 2561","","What makes life simple is that the robust and antifragile don’t have to have as accurate a comprehension of the world as the fragile—and they do not need forecasting. To see how redundancy is a nonpredictive, or rather a less predictive, mode of action, let us use the argument of Chapter 2: if you have extra cash in the bank (in addition to stockpiles of tradable goods such as cans of Spam and hummus and gold bars in the basement), you don’t need to know with precision which event will cause potential difficulties.1 It could be a war, a revolution, an earthquake, a recession, an epidemic, a terrorist attack, the secession of the state of New Jersey, anything—you do not need to predict much, unlike those who are in the opposite situation, namely, in debt. Those, because of their fragility, need to predict with more, a lot more, accuracy."
"Highlight (Yellow)","Location 2579","","“why did we build something so fragile to these types of events?” Not seeing a tsunami or an economic event coming is excusable; building something fragile to them is not."
"Highlight (Yellow)","Location 2608","","So my work is about where one should be skeptical, and where one should not be so. In other words, focus on getting out of the f*** Fourth Quadrant—the Fourth Quadrant is the scientific name I gave to the Black Swan domain, the one in which we have a high exposure to rare, “tail” events and these events are incomputable.3"
"Highlight (Yellow)","Location 2775","","You can’t predict in general, but you can predict that those who rely on predictions are taking more risks, will have some trouble, perhaps even go bust. Why? Someone who predicts will be fragile to prediction errors. An overconfident pilot will eventually crash the plane. And numerical prediction leads people to take more risks."
"Highlight (Yellow)","Location 3096","","This entire heritage of thinking, grounded in the sentence “An agent does not move except out of intention for an end,” is where the most pervasive human error lies, compounded by two or more centuries of the illusion of unconditional scientific understanding. This error is also the most fragilizing"
"Highlight (Yellow)","Location 3111","","The strength of the computer entrepreneur Steve Jobs was precisely in distrusting market research and focus groups—those based on asking people what they want—and following his own imagination. His modus was that people don’t know what they want until you provide them with it."
"Highlight (Yellow)","Location 3167","","Financial options may be expensive because people know they are options and someone is selling them and charging a price—but most interesting options are free, or at the worst, cheap."
"Highlight (Yellow)","Location 3298","","As I said, in business, people pay for the option when it is identified and mapped in a contract, so explicit options tend to be expensive to purchase, much like insurance contracts. They are often overhyped. But because of the domain dependence of our minds, we don’t recognize it in other places, where these options tend to remain underpriced or not priced at all."
"Highlight (Yellow)","Location 4184","","Corporations are in love with the idea of the strategic plan. They need to pay to figure out where they are going. Yet there is no evidence that strategic planning works—we even seem to have evidence against it. A management scholar, William Starbuck, has published a few papers debunking the effectiveness of planning—it makes the corporation option-blind, as it gets locked into a non-opportunistic course of action. Almost"
"Highlight (Yellow)","Location 4805","","For the fragile, the cumulative effect of small shocks is smaller than the single effect of an equivalent single large shock."
"Highlight (Yellow)","Location 4996","","But there is a nuance: it is the size per segment of the project that matters, not the entire project—some projects can be divided into pieces, not others. Bridge and tunnel projects involve monolithic planning,"
"Highlight (Yellow)","Location 5166","","Once I figured out that fragility was directly from nonlinearity and convexity effects, and that convexity was measurable, I got all excited. The technique—detecting acceleration of harm—applies to anything that entails decision making under uncertainty, and risk management."
"Highlight (Yellow)","Location 5212","","Finally, this method can show us where the math in economic models is bogus—which models are fragile and which ones are not. Simply do a small change in the assumptions, and look at how large the effect, and if there is acceleration of such effect."
"Highlight (Yellow)","Location 5291","","This hidden “convexity bias” comes from a mathematical property called Jensen’s inequality. This is what the common discourse on innovation is missing. If you ignore the convexity bias, you are missing a chunk of what makes the nonlinear world go round."
"Highlight (Yellow)","Location 5367","","So the central tenet of the epistemology I advocate is as follows: we know a lot more what is wrong than what is right, or, phrased according to the fragile/robust classification, negative knowledge (what is wrong, what does not work) is more robust to error than positive knowledge (what is right, what works). So knowledge grows by subtraction much more than by addition—given that what we know today might turn out to be wrong but what we know to be wrong cannot turn out to be right, at least not easily. If I spot a black swan (not capitalized), I can be quite certain that the statement “all swans are white” is wrong. But even if I have never seen a black swan, I can never hold such a statement to be true. Rephrasing it again: since one small observation can disprove a statement, while millions can hardly confirm it, disconfirmation is more rigorous than confirmation."
"Highlight (Yellow)","Location 5420","","Few realize that we are moving into the far more uneven distribution of 99/1 across many things that used to be 80/20: 99 percent of Internet traffic is attributable to less than 1 percent of sites, 99 percent of book sales come from less than 1 percent of authors "
"Highlight (Yellow)","Location 6868","","Never ask anyone for their opinion, forecast, or recommendation. Just ask them what they have—or don’t have—in their portfolio."
"Highlight (Yellow)","Location 6876","","The psychologist Gerd Gigerenzer has a simple heuristic. Never ask the doctor what you should do. Ask him what he would do if he were in your place. You would be surprised at the difference. The Problem"
"Highlight (Yellow)","Location 6978","","believe that forcing researchers to eat their own cooking whenever possible solves a serious problem in science. Take this simple heuristic—does the scientific researcher whose ideas are applicable to the real world apply his ideas to his daily life? If so, take him seriously. Otherwise, ignore"
"Highlight (Yellow)","Location 7032","","The asymmetry is visibly present: volatility benefits managers since they only get one side of the payoffs. The main point (alas, missed by almost everyone) is that they stand to gain from volatility—the more variations, the more value to this asymmetry. Hence they are antifragile."
"Highlight (Yellow)","Location 7444","","Everything gains or loses from volatility. Fragility is what loses from volatility and uncertainty"
"Highlight (Yellow)","Location 7460","","We can detect what likes volatility thanks to convexity or acceleration and higher orders, since convexity is the response by a thing that likes disorder. We can build Black Swan–protected systems thanks to detection of concavity."
