"Your Kindle Notes For:",,,
"HOW TO WIN FRIENDS AND INFLUENCE PEOPLE",,,
"by Dale Carnegie",,,
"Free Kindle instant preview:",,,
"http://a.co/4pxht1o",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 6616","","PRINCIPLE 6—Make the other person feel important—and do it sincerely."
"Highlight (Yellow)","Location 6716","","PRINCIPLE 1—The only way to get the best of an argument is to avoid it."
"Highlight (Yellow)","Location 6871","","In other words, don’t argue with your customer or your spouse or your adversary. Don’t tell them they are wrong, don’t get them stirred up. Use a little diplomacy."
"Highlight (Yellow)","Location 6873","","PRINCIPLE 2—Show respect for the other person’s opinions. Never say, “You're wrong.”"
"Highlight (Yellow)","Location 6980","","PRINCIPLE 3—If you are wrong, admit it quickly and emphatically."
"Highlight (Yellow)","Location 7099","","Remember what Lincoln said: “A drop of honey catches more flies than a gallon of gall.”"
"Highlight (Yellow)","Location 7099","","PRINCIPLE 4—Begin in a friendly way."
"Highlight (Yellow)","Location 7175","","next time we are tempted to tell someone he or she is wrong, let’s remember old Socrates and ask a gentle question—a question that will get the “yes, yes” response."
"Highlight (Yellow)","Location 7179","","PRINCIPLE 5—Get the other person saying “yes, yes” immediately."
"Highlight (Yellow)","Location 7246","","PRINCIPLE 6—Let the other person do a great deal of the talking."
"Highlight (Yellow)","Location 7248","","Don’t you have much more faith in ideas that you discover for yourself than in ideas that are handed to you on a silver platter? If so, isn’t it bad judgment to try to ram your opinions down the throats of other people? Isn’t it wiser to make suggestions—and let the other person think out the conclusion?"
"Highlight (Yellow)","Location 7320","","PRINCIPLE 7—Let the other person feel that the idea is his or hers."
"Highlight (Yellow)","Location 7322","","Remember that other people may be totally wrong. But they don’t think so. Don’t condemn them. Any fool can do that. Try to understand them. Only wise, tolerant, exceptional people even try to do that."
"Highlight (Yellow)","Location 7342","","“Cooperativeeness in conversation is achieved when you show that you consider the other person’s ideas and feelings as important as your own."
"Highlight (Yellow)","Location 7387","","If, as a result of reading this book, you get only one thing—an increased tendency to think always in terms of the other person’s point of view, and see things from that person’s angle as well as your own—if you get only that one thing from this book, it may easily prove to be one of the stepping—stones of your career."
"Highlight (Yellow)","Location 7390","","PRINCIPLE 8—Try honestly to see things from the other person’s point of view."
"Highlight (Yellow)","Location 7496","","PRINCIPLE 9- Be sympathetic with the other person’s ideas and desires."
"Highlight (Yellow)","Location 7569","","PRINCIPLE 10—Appeal to the nobler motives."
"Highlight (Yellow)","Location 7627","","PRINCIPLE 11—Dramatize your ideas."
"Highlight (Yellow)","Location 7670","","That is what every successful person loves: the game. The chance for self- expression. The chance to prove his or her worth, to excel, to win. That is what makes foot-races and hog-calling and pie-eating contests. The desire to excel. The desire for a feeling of importance. PRINCIPLE 12—Throw down a challenge."
"Highlight (Yellow)","Location 7759","","PRINCIPLE 1—Begin with praise and honest appreciation."
"Highlight (Yellow)","Location 7812","","PRINCIPLE 2—Call attention to people’s mistakes indirectly."
"Highlight (Yellow)","Location 7876","","PRINCIPLE 3—Talk about your own mistakes before criticizing the other person."
"Highlight (Yellow)","Location 7908","","PRINCIPLE 4—Ask questions instead of giving direct orders."
"Highlight (Yellow)","Location 7955","","PRINCIPLE 5—Let the other person save face."
"Highlight (Yellow)","Location 8023","","Abilities wither under criticism; they blossom under encouragement."
"Highlight (Yellow)","Location 8024","","PRINCIPLE 6—Praise the slightest improvement and praise every improvement. Be “hearty in your approbation and lavish in your praise.”"
"Highlight (Yellow)","Location 8085","","PRINCIPLE 7—Give the other person a fine reputation to live up to."
"Highlight (Yellow)","Location 8142","","PRINCIPLE 8—Use encouragement. Make the fault seem easy to correct."
"Highlight (Yellow)","Location 8190","","The effective leader should keep the following guidelines in mind when it is necessary to change attitudes or behavior: 1. Be sincere. Do not promise anything that you cannot deliver. Forget about the benefits to yourself and concentrate on the benefits to the other person. 2. Know exactly what it is you want the other person to do. 3. Be empathetic. Ask yourself what is it the other person really wants. 4. Consider the benefits that person will receive from doing what you suggest. 5. Match those benefits to the other person’s wants. 6. When you make your request, put it in a form that will convey to the other person the idea that he personally will benefit."
"Highlight (Yellow)","Location 8207","","PRINCIPLE 9—Make the other person happy about doing the thing you suggest."
