"Your Kindle Notes For:",,,
"THE INNOVATOR'S DILEMMA: WHEN NEW TECHNOLOGIES CAUSE GREAT FIRMS TO FAIL (MANAGEMENT OF INNOVATION AND CHANGE)",,,
"by Clayton Christensen",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2d5BFnX",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 1272","","Furthermore, the value network suggests that technology S-curves are useful predictors only with sustaining technologies. Disruptive technologies generally improve at a parallel pace with established ones—their trajectories do not intersect. The S-curve framework, therefore, asks the wrong question when it is used to assess disruptive technology."
"Highlight (Yellow)","Location 1317","","Disruptive innovations are complex because their value and application are uncertain, according to the criteria used by incumbent firms."
"Highlight (Yellow)","Location 1334","","Richard Tedlow noted in his history of retailing in America (in which supermarkets and discount retailing play the role of disruptive technologies), “the most formidable barrier the established firms faced is that they did not want to do this.” 25 5. In"
"Highlight (Yellow)","Location 1338","","At its core, therefore, the issue may be the relative flexibility of successful established firms versus entrant firms to change strategies and cost structures, not technologies."
"Highlight (Yellow)","Location 1556","","This is typical of industries facing a disruptive technology: The leading firms in the established technology remain financially strong until the disruptive technology is, in fact, in the midst of their mainstream market."
"Highlight (Yellow)","Location 1570","","The established firms steadfastly focused their innovative investments on their customers. Subsequent chapters will show that this strategic choice is present in most instances of disruptive innovation. Consistently, established firms attempt to push the technology into their established markets, while the successful entrants find a new market that values the technology."
"Highlight (Yellow)","Location 1608","","So, as we have seen before, these companies did not fail because the technology wasn’t available. They did not fail because they lacked information about hydraulics or how to use it; indeed, the best of them used it as soon as it could help their customers. They did not fail because management was sleepy or arrogant. They failed because hydraulics didn’t make sense—until it was too late."
"Highlight (Yellow)","Location 1856","","Three factors—the promise of upmarket margins, the simultaneous upmarket movement of many of a company’s customers, and the difficulty of cutting costs to move downmarket profitably—together create powerful barriers to downward mobility."
"Highlight (Yellow)","Location 2014","","The cause of failure could not be solely attributed to established firms’ inadequate competence in new technological fields or their inability to stay atop their industry’s “technological mudslide.” Of course, these problems do afflict some companies. But as a general rule, the evidence is very strong that as long as the new technology was required to address the needs of their customers, established firms were able to muster the expertise, capital, suppliers, energy, and rationale to develop and implement the requisite technology both competitively and effectively."
"Highlight (Yellow)","Location 2029","","Successful companies want their resources to be focused on activities that address customers’ needs, that promise higher profits, that are technologically feasible, and that help them play in substantial markets. Yet, to expect the processes that accomplish these things also to do something like nurturing disruptive technologies—to focus resources on proposals that customers reject, that offer lower profit, that underperform existing technologies and can only be sold in insignificant markets—is akin to flapping one’s arms with wings strapped to them in an attempt to fly. Such expectations involve fighting some fundamental tendencies about the way successful organizations work and about how their performance is evaluated. Part Two of this book"
"Highlight (Yellow)","Location 2102","","One option is to convince everyone in the firm that the company should pursue it anyway, that it has long-term strategic importance despite rejection by the customers who pay the bills and despite lower profitability than the upmarket alternatives. The other option would be to create an independent organization and embed it among emerging customers that do need the technology."
"Highlight (Yellow)","Location 2224","","Four times it withdrew from the personal computer market. Why? DEC launched all four forays from within the mainstream company. 8 For all of the reasons so far recounted, even though executive-level decisions lay behind the move into the PC business, those who made the day-to-day resource allocation decisions in the company never saw the sense in investing the necessary money, time, and energy in low-margin products that their customers didn’t want."
"Highlight (Yellow)","Location 2405","","the most straightforward way of confronting this difficulty is to implant projects aimed at commercializing disruptive technologies in organizations small enough to get excited about small-market opportunities, and to do so on a regular basis even while the mainstream company is growing."
"Highlight (Yellow)","Location 2442","","There is no evidence that any of the leaders in developing and adopting sustaining technologies developed a discernible competitive advantage over the followers."
"Highlight (Yellow)","Location 2445","","In contrast to the evidence that leadership in sustaining technologies has historically conferred little advantage on the pioneering disk drive firms, there is strong evidence that leadership in disruptive technology has been very important."
"Highlight (Yellow)","Location 2572","","The executives’ actions were a symptom of a deeper problem: Small markets cannot satisfy the near-term growth requirements of big organizations."
"Highlight (Yellow)","Location 2667","","In sustaining technologies, in fact, evidence strongly suggests that companies which focus on extending the performance of conventional technologies, and choose to be followers in adopting new ones, can remain strong and competitive. This is not the case with disruptive technologies, however. There are enormous returns and significant first-mover advantages associated with early entry into the emerging markets in which disruptive technologies are initially used."
"Highlight (Yellow)","Location 2970","","The dominant difference between successful ventures and failed ones, generally, is not the astuteness of their original strategy. Guessing the right strategy at the outset isn’t nearly as important to success as conserving enough resources (or having the relationships with trusting backers or investors) so that new business initiatives get a second or third stab at getting it right. Those that run out of resources or credibility before they can iterate toward a viable strategy are the ones that fail."
"Highlight (Yellow)","Location 2982","","the findings in this book about the disk drive industry. When demand for an innovation was assured, as was the case with sustaining technologies, the industry’s established leaders were capable of placing huge, long, and risky bets to develop whatever technology was required. When demand was not assured, as was the case in disruptive technologies, the established firms could not even make the technologically straightforward bets required to commercialize such innovations."
"Highlight (Yellow)","Location 2992","","But in disruptive situations, action must be taken before careful plans are made. Because much less can be known about what markets need or how large they can become, plans must serve a very different purpose: They must be plans for learning rather than plans for implementation. By approaching a disruptive business with the mindset that they can’t know where the market is, managers would identify what critical information about new markets is most necessary and in what sequence that information is needed. Project and business plans would mirror those priorities, so that key pieces of information would be created, or important uncertainties resolved, before expensive commitments of capital, time, and money were required."
"Highlight (Yellow)","Location 3015","","I have come to call this approach to discovering the emerging markets for disruptive technologies agnostic marketing, by which I mean marketing under an explicit assumption that no one—not us, not our customers—can know whether, how, or in what quantities a disruptive product can or will be used before they have experience using it."
"Highlight (Yellow)","Location 3060","","Unfortunately, some managers don’t think as rigorously about whether their organizations have the capability to successfully execute jobs that may be given to them."
"Highlight (Yellow)","Location 3173","","The leading disk drive companies had the resources—the people, money, and technology—required to succeed at both sustaining and disruptive technologies. But their processes and values constituted disabilities in their efforts to succeed at disruptive technologies."
"Highlight (Yellow)","Location 3267","","If the acquiree’s processes and values were the reason for its historical success, a better strategy is to let the business stand alone, and for the parent to infuse its resources into the acquired firm’s processes and values. This strategy, in essence, truly constitutes the acquisition of new capabilities."
"Highlight (Yellow)","Location 3302","","Companies that have tried to develop new capabilities within established organizational units also have a spotty track record, unfortunately."
"Highlight (Yellow)","Location 3337","","When a threatening disruptive technology requires a different cost structure in order to be profitable and competitive, or when the current size of the opportunity is insignificant relative to the growth needs of the mainstream organization, then—and only then—is a spin-out organization a required part of the solution."
"Highlight (Yellow)","Location 3340","","How separate does the effort need to be? The primary requirement is that the project cannot be forced to compete with projects in the mainstream organization for resources. Because values are the criteria by which prioritization decisions are made, projects that are inconsistent with a company’s mainstream values will naturally be accorded lowest priority. Whether the independent organization is physically separate is less important than is its independence from the normal resource allocation process."
"Highlight (Yellow)","Location 3419","","The reasons why innovation often seems to be so difficult for established firms is that they employ highly capable people, and then set them to work within processes and values that weren’t designed to facilitate success with the task at hand."
"Highlight (Yellow)","Location 3499","","Generally, once the performance level demanded of a particular attribute has been achieved, customers indicate their satiation by being less willing to pay a premium price for continued improvement in that attribute. Hence, performance oversupply triggers a shift in the basis of competition, and the criteria used by customers to choose one product over another changes to attributes for which market demands are not yet satisfied."
"Highlight (Yellow)","Location 3548","","This evolving pattern in the basis of competition—from functionality, to reliability and convenience, and finally to price—has been seen in many of the markets so far discussed. In fact, a key characteristic of a disruptive technology is that it heralds a change in the basis of competition."
"Highlight (Yellow)","Location 3560","","In general, companies that have succeeded in disruptive innovation initially took the characteristics and capabilities of the technology for granted and sought to find or create a new market that would value or accept those attributes."
"Highlight (Yellow)","Location 3565","","The companies toppled by these disruptive technologies, in contrast, each took the established market’s needs as given, and did not attempt to market the technology until they felt it was good enough to be valued in the mainstream market."
"Highlight (Yellow)","Location 3574","","In the instances studied in this book, established firms confronted with disruptive technology typically viewed their primary development challenge as a technological one: to improve the disruptive technology enough that it suits known markets. In contrast, the firms that were most successful in commercializing a disruptive technology were those framing their primary development challenge as a marketing one: to build or find a market where product competition occurred along dimensions that favored the disruptive attributes of the product."
"Highlight (Yellow)","Location 3578","","It is critical that managers confronting disruptive technology observe this principle. If history is any guide, companies that keep disruptive technologies bottled up in their labs, working to improve them until they suit mainstream markets, will not be nearly as successful as firms that find markets that embrace the attributes of disruptive technologies as they initially stand. These latter firms, by creating a commercial base and then moving upmarket, will ultimately address the mainstream market much more effectively than will firms that have framed disruptive technology as a laboratory, rather than a marketing, challenge."
"Highlight (Yellow)","Location 3814","","In other words, as an automotive company executive, I would worry about the electric vehicle, not just because it is politically correct to be investing in environmentally friendly technologies, but because electric vehicles have the smell of a disruptive technology."
"Highlight (Yellow)","Location 3851","","Historically, as we have seen, the very attributes that make disruptive technologies uncompetitive in mainstream markets actually count as positive attributes in their emerging value network."
"Highlight (Yellow)","Location 3860","","The only useful information about the market will be what I create through expeditions into the market, through testing and probing, trial and error, by selling real products to real people who pay real money."
"Highlight (Yellow)","Location 3939","","Disruptive technologies typically have a lower sticker price per unit than products that are used in the mainstream, even though their cost in use is often higher."
"Highlight (Yellow)","Location 3961","","The reason these companies view a breakthrough in battery technology as the critical bottleneck to the commercial success of electric vehicles, of course, is that their executives have positioned their minds and their products in the mainstream market. For Chrysler, this means an electric minivan; for Ford, an electric Ranger. Given this position, they must deliver a sustaining technological impact from what is inherently a disruptive technology. They need a breakthrough in battery technology because they made the choice to somehow position electric vehicles as a sustaining technology."
"Highlight (Yellow)","Location 3995","","established firms that successfully built a strong market position in a disruptive technology were those that spun off from the mainstream company an independent, autonomously operated organization."
"Highlight (Yellow)","Location 4121","","We have learned in this book that in their straightforward search for profit and growth, some very capable executives in some extraordinarily successful companies, using the best managerial techniques, have led their firms toward failure."
"Highlight (Yellow)","Location 4130","","First, the pace of progress that markets demand or can absorb may be different from the progress offered by technology. This means that products that do not appear to be useful to our customers today (that is, disruptive technologies) may squarely address their needs tomorrow."
"Highlight (Yellow)","Location 4167","","Sixth, it is not wise to adopt a blanket technology strategy to be always a leader or always a follower. Companies need to take distinctly different postures depending on whether they are addressing a disruptive or a sustaining technology. Disruptive innovations entail significant first-mover advantages: Leadership is important. Sustaining situations, however, very often do not. The evidence is quite strong that companies whose strategy is to extend the performance of conventional technologies through consistent incremental improvements do about as well as companies whose strategy is to take big, industry-leading technological leaps."
"Highlight (Yellow)","Location 4195","","In The Innovator’s Dilemma, Professor Clayton Christensen asks the question: Why do well-managed companies fail? He concludes that they often fail because the very management practices that have allowed them to become industry leaders also make it extremely difficult for them to develop the disruptive technologies that ultimately steal away their markets."
"Highlight (Yellow)","Location 4197","","Well-managed companies are excellent at developing the sustaining technologies that improve the performance of their products in the ways that matter to their customers. This is because their management practices are biased toward: Listening to customers Investing aggressively in technologies that give those customers what they say they want Seeking higher margins Targeting larger markets rather than smaller ones"
"Highlight (Yellow)","Location 4203","","Disruptive technologies, however, are distinctly different from sustaining technologies. Disruptive technologies change the value proposition in a market. When they first appear, they almost always offer lower performance in terms of the attributes that mainstream customers care about."
